060855003001000,060855003001000,060855003001001,+37.3522905,-121.9105121,0,0
060855003001001,060855003001001,060855003001001,+37.3501221,-121.9136220,1,0
060855003001002,060855003001002,060855003001004,+37.3490100,-121.9125193,0,62
060855003001003,060855003001003,060855003001004,+37.3493357,-121.9095230,0,0
060855003001004,060855003001004,060855003001004,+37.3482899,-121.9072739,0,0
060855003001005,060855003001005,060855003001006,+37.3482589,-121.9085539,0,31
060855003001006,060855003001006,060855003001006,+37.3482935,-121.9110309,0,0
060855003001007,060855003001007,060855003001011,+37.3472461,-121.9099982,0,6
060855003001008,060855003001008,060855003001011,+37.3466584,-121.9069802,0,0
060855003001009,060855003001009,060855003001011,+37.3462947,-121.9119757,0,0
060855003001010,060855003001010,060855003001011,+37.3470412,-121.9128136,0,0
060855003001011,060855003001011,060855003001011,+37.3461977,-121.9140325,0,0
060855003001012,060855003001012,060855003001013,+37.3471862,-121.9151213,0,17
060855003001013,060855003001013,060855003001013,+37.3463133,-121.9163272,30,0
060855003001014,060855003001014,060855003001014,+37.3476363,-121.9176990,88,309
060855003001015,060855003001015,060855003001015,+37.3454394,-121.9175460,64,28
060855003001016,060855003001016,060855003001016,+37.3464262,-121.9186349,3,58
060855003001017,060855003001017,060855003001018,+37.3487890,-121.9179485,0,13
060855003001018,060855003001018,060855003001018,+37.3451841,-121.9129444,0,0
060855003001019,060855003001019,060855003001026,+37.3458040,-121.9114924,0,6
060855003001020,060855003001020,060855003001026,+37.3450686,-121.9106652,0,0
060855003001021,060855003001021,060855003001026,+37.3460698,-121.9091998,1,0
060855003001022,060855003001022,060855003001026,+37.3451100,-121.9081372,0,0
060855003001023,060855003001023,060855003001026,+37.3439602,-121.9054244,0,0
060855003001024,060855003001024,060855003001026,+37.3439670,-121.9072704,0,0
060855003001025,060855003001025,060855003001026,+37.3427340,-121.9018213,1,0
060855003001026,060855003001026,060855003001026,+37.3423473,-121.9025951,0,0
060855003001027,060855003001027,060855003001027,+37.3403412,-121.9029573,0,57
060855003001028,060855003001028,060855003001028,+37.3416694,-121.9032760,0,1
060855003001029,060855003001029,060855003001031,+37.3412547,-121.9042389,0,107
060855003001030,060855003001030,060855003001031,+37.3421220,-121.9052864,0,0
060855003001031,060855003001031,060855003001031,+37.3416970,-121.9069359,0,0
060855003001032,060855003001032,060855003001033,+37.3415093,-121.9085573,0,389
060855003001033,060855003001033,060855003001033,+37.3406243,-121.9075902,3,0
060855003001034,060855003001034,060855003001035,+37.3408828,-121.9052517,0,91
060855003001035,060855003001035,060855003001035,+37.3422609,-121.9097252,0,0
