FID,full_name,Frequency1,LineID1,LineAbb,Line_url,Category,colorcode
91,47 Milpitas BART - McCarthy Ranch via Park Victoria - A - outbound,30,47,47,https://www.vta.org/go/routes/47,local,29588c
92,61 Sierra & Piedmont - Good Samaritan Hospital - A - inbound,15,61,61,https://www.vta.org/go/routes/61,frequent,e4002b
93,61 Sierra & Piedmont - Good Samaritan Hospital - A - outbound,15,61,61,https://www.vta.org/go/routes/61,frequent,e4002b
94,66 North Milpitas - Kaiser San Jose - A - inbound,15,66,66,https://www.vta.org/go/routes/66,frequent,e4002b
95,66 North Milpitas - Kaiser San Jose - A - outbound,15,66,66,https://www.vta.org/go/routes/66,frequent,e4002b
96,Orange Line Mountain View - Alum Rock - A - inbound,15,Orange Line,orange-line,https://www.vta.org/go/routes/orange-line,frequent,e4002b
97,Orange Line Mountain View - Alum Rock - A - outbound,15,Orange Line,orange-line,https://www.vta.org/go/routes/orange-line,frequent,e4002b
98,21 Stanford Shopping Center - Santa Clara Transit Center - A - inbound,30,21,21,https://www.vta.org/go/routes/21,local,29588c
99,21 Stanford Shopping Center - Santa Clara Transit Center - A - outbound,30,21,21,https://www.vta.org/go/routes/21,local,29588c
100,51 Moffett Field / Ames Center - West Valley College - A - inbound,30,51,51,https://www.vta.org/go/routes/51,local,29588c
101,51 Moffett Field / Ames Center - West Valley College - A - outbound,30,51,51,https://www.vta.org/go/routes/51,local,29588c
102,53 Sunnyvale Transit Center - Santa Clara Transit Center - A - inbound,30,53,53,https://www.vta.org/go/routes/53,local,29588c
103,53 Sunnyvale Transit Center - Santa Clara Transit Center - A - outbound,30,53,53,https://www.vta.org/go/routes/53,local,29588c
104,Green Line Old Ironsides - Winchester - inbound,15,Green Line,green-line,https://www.vta.org/go/routes/green-line,frequent,e4002b
105,Green Line Old Ironsides - Winchester - outbound,15,Green Line,green-line,https://www.vta.org/go/routes/green-line,frequent,e4002b
106,Express 104 Milpitas BART - Stanford Research Park - inbound,Various,Express 104,express-104,https://www.vta.org/go/routes/express-104,express,00b140
107,Express 104 Milpitas BART - Stanford Research Park - outbound,Various,Express 104,express-104,https://www.vta.org/go/routes/express-104,express,00b140
108,Express 103 Eastridge - Stanford Research Park - inbound,Various,Express 103,express-103,https://www.vta.org/go/routes/express-103,express,00b140
109,Express 103 Eastridge - Stanford Research Park - outbound,Various,Express 103,express-103,https://www.vta.org/go/routes/express-103,express,00b140
110,Express 101 Camden & Highway 85 - Stanford Research Park - inbound,Various,Express 101,express-101,https://www.vta.org/go/routes/express-101,express,00b140
111,Express 101 Camden & Highway 85 - Stanford Research Park - outbound,Various,Express 101,express-101,https://www.vta.org/go/routes/express-101,express,00b140
112,64B McKee & White - Almaden Expressway & Camden - A - inbound,15,64B,64b,https://www.vta.org/go/routes/64b,frequent,e4002b
113,64B McKee & White - Almaden Expressway & Camden - A - outbound,15,64B,64b,https://www.vta.org/go/routes/64b,frequent,29588c
114,64A McKee & White - Ohlone-Chynoweth Station - A - inbound,15,64A,64a,https://www.vta.org/go/routes/64a,frequent,e4002b
115,64A McKee & White - Ohlone-Chynoweth Station - A - outbound,15,64A,64a,https://www.vta.org/go/routes/64a,frequent,29588c
